ticket_id,customerID,tipo_ticket,sentimento
TKT-00039,8779-QRDMV,Cobrança,Negativo
TKT-00040,1066-JKSGK,Cobrança,Positivo
TKT-00041,3638-WEABW,Técnico,Neutro
TKT-00042,3638-WEABW,Cobrança,Neutro
TKT-00043,6865-JZNKO,Técnico,Neutro
TKT-00044,6865-JZNKO,Técnico,Positivo
TKT-00045,6467-CHFZW,Cancelamento,Neutro
TKT-00046,6467-CHFZW,Cancelamento,Positivo
TKT-00047,6467-CHFZW,Técnico,Negativo
TKT-00048,6467-CHFZW,Cancelamento,Neutro
TKT-00049,6467-CHFZW,Cobrança,Negativo
TKT-00050,6467-CHFZW,Dúvida Geral,Positivo
TKT-00051,8665-UTDHZ,Dúvida Geral,Negativo
TKT-00052,8665-UTDHZ,Dúvida Geral,Negativo
TKT-00053,8665-UTDHZ,Cancelamento,Negativo
TKT-00054,8665-UTDHZ,Dúvida Geral,Positivo
TKT-00055,8773-HHUOZ,Cancelamento,Negativo
TKT-00056,8773-HHUOZ,Cobrança,Negativo
TKT-00057,8773-HHUOZ,Cobrança,Neutro
TKT-00058,8773-HHUOZ,Cancelamento,Neutro
TKT-00059,8773-HHUOZ,Cobrança,Positivo
TKT-00060,3841-NFECX,Dúvida Geral,Negativo
TKT-00061,3841-NFECX,Técnico,Neutro
TKT-00062,4929-XIHVW,Cobrança,Negativo
TKT-00063,6827-IEAUQ,Cobrança,Negativo
TKT-00064,6827-IEAUQ,Cobrança,Neutro
TKT-00065,7310-EGVHZ,Dúvida Geral,Neutro
TKT-00066,3413-BMNZE,Técnico,Neutro
TKT-00067,6234-RAAPL,Técnico,Neutro
TKT-00068,6047-YHPVI,Cancelamento,Negativo
TKT-00069,6047-YHPVI,Dúvida Geral,Negativo
TKT-00070,6047-YHPVI,Cancelamento,Negativo
TKT-00071,6047-YHPVI,Cobrança,Negativo
TKT-00072,6047-YHPVI,Cancelamento,Negativo
TKT-00073,5380-WJKOV,Cobrança,Negativo
TKT-00074,8168-UQWWF,Cancelamento,Neutro
TKT-00075,8168-UQWWF,Cancelamento,Neutro
TKT-00076,8168-UQWWF,Cancelamento,Negativo
TKT-00077,8168-UQWWF,Técnico,Negativo
TKT-00078,8168-UQWWF,Cancelamento,Negativo
TKT-00079,9489-DEDVP,Técnico,Neutro
TKT-00080,9489-DEDVP,Cobrança,Neutro
TKT-00081,9867-JCZSP,Dúvida Geral,Positivo
TKT-00082,9867-JCZSP,Cobrança,Negativo
TKT-00083,4671-VJLCL,Cobrança,Neutro
TKT-00084,3714-NTNFO,Cobrança,Neutro
TKT-00085,5948-UJZLF,Técnico,Negativo
TKT-00086,5948-UJZLF,Técnico,Neutro
TKT-00087,7760-OYPDY,Cobrança,Negativo
TKT-00088,7639-LIAYI,Técnico,Negativo
TKT-00089,2954-PIBKO,Técnico,Neutro
TKT-00090,8012-SOUDQ,Cobrança,Neutro
TKT-00091,8012-SOUDQ,Cobrança,Negativo
TKT-00092,9420-LOJKX,Cancelamento,Negativo
TKT-00093,9420-LOJKX,Cancelamento,Negativo
TKT-00094,9420-LOJKX,Cancelamento,Negativo
TKT-00095,9420-LOJKX,Cancelamento,Negativo
TKT-00096,6575-SUVOI,Dúvida Geral,Negativo
TKT-00097,7495-OOKFY,Cancelamento,Negativo
TKT-00098,7495-OOKFY,Cancelamento,Negativo
TKT-00099,7495-OOKFY,Dúvida Geral,Negativo
TKT-00100,7495-OOKFY,Cancelamento,Negativo
TKT-00101,7495-OOKFY,Dúvida Geral,Negativo
TKT-00102,4667-QONEA,Dúvida Geral,Neutro
TKT-00103,4667-QONEA,Cobrança,Neutro
TKT-00104,1658-BYGOY,Cancelamento,Neutro
TKT-00105,1658-BYGOY,Cancelamento,Negativo
TKT-00106,1658-BYGOY,Cobrança,Neutro
TKT-00107,1658-BYGOY,Técnico,Negativo
TKT-00108,1658-BYGOY,Cancelamento,Neutro
TKT-00109,1658-BYGOY,Cancelamento,Negativo
TKT-00110,3957-SQXML,Cobrança,Neutro
TKT-00111,5954-BDFSG,Técnico,Negativo
TKT-00112,0434-CSFON,Técnico,Neutro
TKT-00113,1215-FIGMP,Técnico,Positivo
TKT-00114,5698-BQJOH,Cobrança,Negativo
TKT-00115,5698-BQJOH,Cancelamento,Negativo
TKT-00116,5698-BQJOH,Dúvida Geral,Negativo
TKT-00117,5698-BQJOH,Cancelamento,Negativo
TKT-00118,5698-BQJOH,Cancelamento,Negativo
TKT-00119,5122-CYFXA,Dúvida Geral,Negativo
TKT-00120,8627-ZYGSZ,Cobrança,Positivo
TKT-00121,3170-NMYVV,Dúvida Geral,Positivo
TKT-00122,7410-OIEDU,Cobrança,Neutro
TKT-00123,2273-QCKXA,Dúvida Geral,Negativo
TKT-00124,1891-QRQSA,Técnico,Neutro
TKT-00125,8028-PNXHQ,Cobrança,Neutro
TKT-00126,2673-CXQEU,Cobrança,Positivo
TKT-00127,6416-JNVRK,Técnico,Neutro
TKT-00128,6416-JNVRK,Cobrança,Neutro
TKT-00129,5590-ZSKRV,Dúvida Geral,Negativo
TKT-00130,5590-ZSKRV,Técnico,Negativo
TKT-00131,0191-ZHSKZ,Cobrança,Neutro
TKT-00132,3887-PBQAO,Cobrança,Neutro
TKT-00133,3887-PBQAO,Cobrança,Positivo
TKT-00134,5919-TMRGD,Dúvida Geral,Negativo
TKT-00135,5919-TMRGD,Cobrança,Negativo
TKT-00136,5919-TMRGD,Dúvida Geral,Negativo
TKT-00137,5919-TMRGD,Técnico,Positivo
TKT-00138,5919-TMRGD,Cancelamento,Negativo
TKT-00139,5919-TMRGD,Dúvida Geral,Negativo
TKT-00140,8108-UXRQN,Técnico,Positivo
TKT-00141,9191-MYQKX,Dúvida Geral,Neutro
TKT-00142,9191-MYQKX,Cancelamento,Neutro
TKT-00143,9191-MYQKX,Cancelamento,Negativo
TKT-00144,9919-YLNNG,Dúvida Geral,Negativo
TKT-00145,0318-ZOPWS,Cobrança,Negativo
TKT-00146,4808-YNLEU,Técnico,Neutro
TKT-00147,4808-YNLEU,Técnico,Positivo
TKT-00148,1862-QRWPE,Dúvida Geral,Neutro
TKT-00149,1862-QRWPE,Cobrança,Neutro
TKT-00150,2796-NNUFI,Cobrança,Neutro
TKT-00151,3016-KSVCP,Técnico,Neutro
TKT-00152,4767-HZZHQ,Cobrança,Neutro
TKT-00153,4767-HZZHQ,Técnico,Positivo
TKT-00154,6067-NGCEU,Dúvida Geral,Positivo
TKT-00155,8637-XJIVR,Dúvida Geral,Neutro
TKT-00156,8637-XJIVR,Técnico,Neutro
TKT-00157,9803-FTJCG,Cobrança,Neutro
TKT-00158,9803-FTJCG,Técnico,Neutro
TKT-00159,0278-YXOOG,Cancelamento,Negativo
TKT-00160,0278-YXOOG,Dúvida Geral,Negativo
TKT-00161,0278-YXOOG,Cancelamento,Neutro
TKT-00162,0278-YXOOG,Cobrança,Negativo
TKT-00163,0278-YXOOG,Cancelamento,Negativo
TKT-00164,3212-KXOCR,Cobrança,Negativo
TKT-00165,4598-XLKNJ,Cobrança,Negativo
TKT-00166,4598-XLKNJ,Cancelamento,Negativo
TKT-00167,4598-XLKNJ,Técnico,Negativo
TKT-00168,4598-XLKNJ,Cancelamento,Neutro
TKT-00169,6380-ARCEH,Cobrança,Neutro
TKT-00170,6380-ARCEH,Dúvida Geral,Neutro
TKT-00171,3192-NQECA,Técnico,Negativo
TKT-00172,3192-NQECA,Cancelamento,Negativo
TKT-00173,3192-NQECA,Cancelamento,Negativo
TKT-00174,0486-HECZI,Cancelamento,Negativo
TKT-00175,0486-HECZI,Técnico,Negativo
TKT-00176,0486-HECZI,Cancelamento,Negativo
TKT-00177,5712-AHQNN,Técnico,Positivo
TKT-00178,4846-WHAFZ,Cancelamento,Positivo
TKT-00179,4846-WHAFZ,Cobrança,Negativo
TKT-00180,4846-WHAFZ,Cancelamento,Negativo
TKT-00181,4846-WHAFZ,Cancelamento,Neutro
TKT-00182,4846-WHAFZ,Cancelamento,Positivo
TKT-00183,5256-SKJGO,Dúvida Geral,Negativo
TKT-00184,5256-SKJGO,Cobrança,Neutro
TKT-00185,3071-VBYPO,Cobrança,Neutro
TKT-00186,3071-VBYPO,Dúvida Geral,Neutro
TKT-00187,5299-RULOA,Cancelamento,Positivo
TKT-00188,5299-RULOA,Dúvida Geral,Negativo
TKT-00189,5299-RULOA,Cancelamento,Negativo
TKT-00190,5299-RULOA,Cancelamento,Negativo
TKT-00191,5299-RULOA,Cancelamento,Negativo
TKT-00192,8402-OOOHJ,Dúvida Geral,Neutro
TKT-00193,9445-ZUEQE,Dúvida Geral,Neutro
TKT-00194,1091-SOZGA,Dúvida Geral,Neutro
TKT-00195,2928-HLDBA,Dúvida Geral,Negativo
TKT-00196,0404-SWRVG,Cobrança,Neutro
TKT-00197,0404-SWRVG,Cancelamento,Negativo
TKT-00198,6497-TILVL,Cobrança,Neutro
TKT-00199,6497-TILVL,Dúvida Geral,Neutro
TKT-00200,7219-TLZHO,Dúvida Geral,Negativo
TKT-00201,4412-YLTKF,Cancelamento,Positivo
TKT-00202,4412-YLTKF,Cancelamento,Neutro
TKT-00203,6734-PSBAW,Cobrança,Positivo
TKT-00204,3930-ZGWVE,Cobrança,Neutro
TKT-00205,2639-UGMAZ,Dúvida Geral,Positivo
TKT-00206,2639-UGMAZ,Dúvida Geral,Neutro
TKT-00207,2876-GZYZC,Dúvida Geral,Negativo
TKT-00208,6207-WIOLX,Cancelamento,Negativo
TKT-00209,6207-WIOLX,Cobrança,Negativo
TKT-00210,6207-WIOLX,Cobrança,Negativo
TKT-00211,6207-WIOLX,Cobrança,Neutro
TKT-00212,6207-WIOLX,Cobrança,Negativo
TKT-00213,6207-WIOLX,Dúvida Geral,Negativo
TKT-00214,3091-FYHKI,Técnico,Positivo
TKT-00215,2372-HWUHI,Cancelamento,Negativo
TKT-00216,2372-HWUHI,Cancelamento,Neutro
TKT-00217,2372-HWUHI,Dúvida Geral,Negativo
TKT-00218,2372-HWUHI,Dúvida Geral,Negativo
TKT-00219,2372-HWUHI,Cancelamento,Negativo
TKT-00220,7799-LGRDP,Dúvida Geral,Neutro
TKT-00221,7850-VWJUU,Dúvida Geral,Negativo
TKT-00222,7850-VWJUU,Dúvida Geral,Negativo
TKT-00223,6217-KDYWC,Dúvida Geral,Neutro
TKT-00224,0390-DCFDQ,Cancelamento,Negativo
TKT-00225,0390-DCFDQ,Cancelamento,Negativo
TKT-00226,0390-DCFDQ,Cancelamento,Neutro
TKT-00227,0390-DCFDQ,Técnico,Negativo
TKT-00228,0390-DCFDQ,Cobrança,Neutro
TKT-00229,4080-OGPJL,Cancelamento,Negativo
TKT-00230,4080-OGPJL,Dúvida Geral,Neutro
TKT-00231,4080-OGPJL,Cobrança,Negativo
TKT-00232,4080-OGPJL,Dúvida Geral,Negativo
TKT-00233,4080-OGPJL,Cancelamento,Negativo
TKT-00234,2636-SJDOU,Dúvida Geral,Neutro
TKT-00235,1131-QQZEB,Dúvida Geral,Neutro
TKT-00236,6837-BJYDQ,Dúvida Geral,Neutro
TKT-00237,6837-BJYDQ,Dúvida Geral,Negativo
TKT-00238,2135-RXIHG,Cancelamento,Positivo
TKT-00239,2135-RXIHG,Técnico,Negativo
TKT-00240,2135-RXIHG,Cancelamento,Neutro
TKT-00241,2135-RXIHG,Cobrança,Negativo
TKT-00242,6440-DKQGE,Técnico,Neutro
TKT-00243,6440-DKQGE,Dúvida Geral,Neutro
TKT-00244,3874-EQOEP,Dúvida Geral,Neutro
TKT-00245,1679-JRFBR,Dúvida Geral,Neutro
TKT-00246,1679-JRFBR,Técnico,Positivo
TKT-00247,3077-RSNTJ,Cobrança,Neutro
TKT-00248,3077-RSNTJ,Dúvida Geral,Neutro
TKT-00249,6551-GNYDG,Dúvida Geral,Neutro
TKT-00250,6371-NZYEG,Cobrança,Neutro
TKT-00251,6371-NZYEG,Dúvida Geral,Positivo
TKT-00252,7554-NEWDD,Dúvida Geral,Positivo
TKT-00253,0867-MKZVY,Dúvida Geral,Negativo
TKT-00254,0867-MKZVY,Cobrança,Positivo
TKT-00255,4482-EWFMI,Dúvida Geral,Negativo
TKT-00256,4648-YPBTM,Técnico,Neutro
TKT-00257,2907-ILJBN,Cobrança,Negativo
TKT-00258,6345-FZOQH,Dúvida Geral,Negativo
TKT-00259,6345-FZOQH,Dúvida Geral,Neutro
TKT-00260,3376-BMGFE,Dúvida Geral,Negativo
TKT-00261,5997-OPVFA,Cobrança,Negativo
TKT-00262,3445-HXXGF,Cancelamento,Negativo
TKT-00263,3445-HXXGF,Cobrança,Negativo
TKT-00264,3445-HXXGF,Cobrança,Negativo
TKT-00265,3445-HXXGF,Cancelamento,Neutro
TKT-00266,7654-YWJUF,Cobrança,Positivo
TKT-00267,7654-YWJUF,Cobrança,Neutro
TKT-00268,1875-QIVME,Cobrança,Negativo
TKT-00269,1875-QIVME,Cancelamento,Negativo
TKT-00270,1875-QIVME,Cobrança,Positivo
TKT-00271,1875-QIVME,Cancelamento,Positivo
TKT-00272,6727-IOTLZ,Dúvida Geral,Positivo
TKT-00273,6727-IOTLZ,Dúvida Geral,Positivo
TKT-00274,0691-JVSYA,Cancelamento,Neutro
TKT-00275,0691-JVSYA,Técnico,Negativo
TKT-00276,0691-JVSYA,Cancelamento,Negativo
TKT-00277,0691-JVSYA,Técnico,Negativo
TKT-00278,2656-FMOKZ,Dúvida Geral,Negativo
TKT-00279,2070-FNEXE,Técnico,Negativo
TKT-00280,2070-FNEXE,Cancelamento,Positivo
TKT-00281,2070-FNEXE,Dúvida Geral,Negativo
TKT-00282,2070-FNEXE,Dúvida Geral,Negativo
TKT-00283,2070-FNEXE,Técnico,Negativo
TKT-00284,3712-PKXZA,Dúvida Geral,Negativo
TKT-00285,3712-PKXZA,Cobrança,Neutro
TKT-00286,6317-YPKDH,Cobrança,Negativo
TKT-00287,9367-WXLCH,Cancelamento,Negativo
TKT-00288,9367-WXLCH,Cancelamento,Positivo
TKT-00289,5524-KHNJP,Técnico,Neutro
TKT-00290,1918-ZBFQJ,Cancelamento,Positivo
TKT-00291,1918-ZBFQJ,Cancelamento,Negativo
TKT-00292,1918-ZBFQJ,Técnico,Negativo
TKT-00293,1024-GUALD,Dúvida Geral,Negativo
TKT-00294,1024-GUALD,Cancelamento,Negativo
TKT-00295,4827-USJHP,Cobrança,Neutro
TKT-00296,4827-USJHP,Dúvida Geral,Negativo
TKT-00297,8167-GJLRN,Técnico,Neutro
TKT-00298,8167-GJLRN,Dúvida Geral,Positivo
TKT-00299,0956-SYCWG,Dúvida Geral,Neutro
TKT-00300,0956-SYCWG,Cobrança,Positivo
TKT-00301,7100-FQPRV,Técnico,Neutro
TKT-00302,2472-OVKUP,Cancelamento,Negativo
TKT-00303,2472-OVKUP,Cancelamento,Neutro
TKT-00304,2472-OVKUP,Dúvida Geral,Negativo
TKT-00305,2472-OVKUP,Cancelamento,Negativo
TKT-00306,2984-RGEYA,Dúvida Geral,Neutro
TKT-00307,2984-RGEYA,Dúvida Geral,Neutro
TKT-00308,2604-IJPDU,Dúvida Geral,Neutro
TKT-00309,2604-IJPDU,Dúvida Geral,Neutro
TKT-00310,6168-YBYNP,Técnico,Neutro
TKT-00311,6168-YBYNP,Técnico,Neutro
TKT-00312,7255-SSFBC,Cobrança,Positivo
TKT-00313,7255-SSFBC,Cobrança,Neutro
TKT-00314,3645-DEYGF,Dúvida Geral,Negativo
TKT-00315,3645-DEYGF,Dúvida Geral,Neutro
TKT-00316,8544-GOQSH,Técnico,Neutro
TKT-00317,8544-GOQSH,Técnico,Positivo
TKT-00318,9142-KZXOP,Técnico,Negativo
TKT-00319,7674-YTAFD,Técnico,Neutro
TKT-00320,7674-YTAFD,Técnico,Neutro
TKT-00321,1285-OKIPP,Técnico,Negativo
TKT-00322,1285-OKIPP,Cancelamento,Negativo
TKT-00323,1285-OKIPP,Técnico,Negativo
TKT-00324,1285-OKIPP,Cobrança,Negativo
TKT-00325,1285-OKIPP,Cancelamento,Negativo
TKT-00326,1285-OKIPP,Cancelamento,Positivo
TKT-00327,7825-ECJRF,Técnico,Negativo
TKT-00328,7825-ECJRF,Cancelamento,Negativo
TKT-00329,7825-ECJRF,Cancelamento,Negativo
TKT-00330,7825-ECJRF,Técnico,Positivo
TKT-00331,1347-KTTTA,Técnico,Neutro
TKT-00332,7841-TZDMQ,Dúvida Geral,Negativo
TKT-00333,7841-TZDMQ,Cancelamento,Negativo
TKT-00334,7841-TZDMQ,Cancelamento,Negativo
TKT-00335,7841-TZDMQ,Técnico,Neutro
TKT-00336,7841-TZDMQ,Técnico,Neutro
TKT-00337,4195-NZGTA,Dúvida Geral,Negativo
TKT-00338,4195-NZGTA,Técnico,Neutro
TKT-00339,4709-LKHYG,Dúvida Geral,Negativo
TKT-00340,4709-LKHYG,Cobrança,Negativo
TKT-00341,2504-DSHIH,Técnico,Neutro
TKT-00342,0699-NDKJM,Dúvida Geral,Neutro
TKT-00343,0699-NDKJM,Dúvida Geral,Neutro
TKT-00344,9286-BHDQG,Técnico,Neutro
TKT-00345,9286-BHDQG,Cobrança,Neutro
TKT-00346,6496-JDSSB,Dúvida Geral,Neutro
TKT-00347,6496-JDSSB,Técnico,Neutro
TKT-00348,9408-SSNVZ,Cancelamento,Negativo
TKT-00349,4443-EMBNA,Cobrança,Positivo
TKT-00350,4443-EMBNA,Cobrança,Neutro
TKT-00351,6469-MRVET,Cobrança,Neutro
TKT-00352,0742-MOABM,Dúvida Geral,Negativo
TKT-00353,0742-MOABM,Cancelamento,Negativo
TKT-00354,0742-MOABM,Cobrança,Positivo
TKT-00355,0742-MOABM,Cancelamento,Negativo
TKT-00356,0742-MOABM,Dúvida Geral,Negativo
TKT-00357,0742-MOABM,Dúvida Geral,Negativo
TKT-00358,5961-VUSRV,Cobrança,Neutro
TKT-00359,5961-VUSRV,Cobrança,Neutro
TKT-00360,6778-JFCMK,Cobrança,Neutro
TKT-00361,2232-DMLXU,Dúvida Geral,Negativo
TKT-00362,2232-DMLXU,Cobrança,Negativo
TKT-00363,2232-DMLXU,Cancelamento,Negativo
TKT-00364,2232-DMLXU,Técnico,Neutro
TKT-00365,2232-DMLXU,Cancelamento,Negativo
TKT-00366,2232-DMLXU,Dúvida Geral,Positivo
TKT-00367,4811-JBUVU,Cobrança,Positivo
TKT-00368,4811-JBUVU,Cobrança,Neutro
TKT-00369,0945-TSONX,Dúvida Geral,Negativo
TKT-00370,8937-RDTHP,Dúvida Geral,Neutro
TKT-00371,7083-MIOPC,Cobrança,Negativo
TKT-00372,1251-KRREG,Cancelamento,Neutro
TKT-00373,1251-KRREG,Cancelamento,Negativo
TKT-00374,1251-KRREG,Técnico,Positivo
TKT-00375,0094-OIFMO,Cancelamento,Neutro
TKT-00376,0094-OIFMO,Cancelamento,Negativo
TKT-00377,0094-OIFMO,Cancelamento,Negativo
TKT-00378,0094-OIFMO,Técnico,Negativo
TKT-00379,9058-HRZSV,Dúvida Geral,Negativo
TKT-00380,4522-AKYLR,Dúvida Geral,Negativo
TKT-00381,9947-OTFQU,Dúvida Geral,Neutro
TKT-00382,9947-OTFQU,Dúvida Geral,Neutro
TKT-00383,9947-OTFQU,Cobrança,Neutro
TKT-00384,0322-YINQP,Cobrança,Negativo
TKT-00385,0322-YINQP,Cancelamento,Negativo
TKT-00386,0322-YINQP,Dúvida Geral,Negativo
TKT-00387,0322-YINQP,Cancelamento,Negativo
TKT-00388,0959-WHOKV,Dúvida Geral,Neutro
TKT-00389,4075-JFPGR,Técnico,Positivo
TKT-00390,4075-JFPGR,Técnico,Neutro
TKT-00391,4629-NRXKX,Cancelamento,Negativo
TKT-00392,4629-NRXKX,Técnico,Negativo
TKT-00393,4629-NRXKX,Cobrança,Neutro
TKT-00394,4629-NRXKX,Cancelamento,Negativo
TKT-00395,4629-NRXKX,Dúvida Geral,Negativo
TKT-00396,9514-JDSKI,Cancelamento,Negativo
TKT-00397,9514-JDSKI,Cobrança,Neutro
TKT-00398,9514-JDSKI,Técnico,Neutro
TKT-00399,3282-ZISZV,Cobrança,Positivo
TKT-00400,3675-YDUPJ,Cobrança,Neutro
TKT-00401,4111-BNXIF,Dúvida Geral,Neutro
TKT-00402,7017-VFHAY,Cobrança,Neutro
TKT-00403,4959-JOSRX,Cobrança,Negativo
TKT-00404,4959-JOSRX,Cancelamento,Negativo
TKT-00405,4959-JOSRX,Cobrança,Negativo
TKT-00406,4959-JOSRX,Cancelamento,Negativo
TKT-00407,4959-JOSRX,Cancelamento,Negativo
TKT-00408,7273-TEFQD,Cancelamento,Negativo
TKT-00409,7273-TEFQD,Cancelamento,Negativo
TKT-00410,7273-TEFQD,Cancelamento,Negativo
TKT-00411,7273-TEFQD,Cancelamento,Negativo
TKT-00412,3606-TWKGI,Cobrança,Negativo
TKT-00413,3606-TWKGI,Cancelamento,Negativo
TKT-00414,3606-TWKGI,Técnico,Negativo
TKT-00415,3606-TWKGI,Cancelamento,Positivo
TKT-00416,3606-TWKGI,Cancelamento,Negativo
TKT-00417,7605-BDWDC,Técnico,Neutro
TKT-00418,1950-KSVVJ,Técnico,Neutro
TKT-00419,1950-KSVVJ,Dúvida Geral,Neutro
TKT-00420,0123-CRBRT,Cobrança,Neutro
TKT-00421,0123-CRBRT,Cobrança,Negativo
TKT-00422,3197-ARFOY,Cobrança,Neutro
TKT-00423,3197-ARFOY,Cobrança,Neutro
TKT-00424,6323-AYBRX,Dúvida Geral,Positivo
TKT-00425,6323-AYBRX,Dúvida Geral,Negativo
TKT-00426,6323-AYBRX,Cobrança,Negativo
TKT-00427,7014-ZZXAW,Dúvida Geral,Positivo
TKT-00428,4385-GZQXV,Técnico,Neutro
TKT-00429,4385-GZQXV,Cancelamento,Negativo
TKT-00430,4385-GZQXV,Técnico,Neutro
TKT-00431,4385-GZQXV,Cancelamento,Neutro
TKT-00432,4385-GZQXV,Cancelamento,Negativo
TKT-00433,6366-ZGQGL,Técnico,Negativo
TKT-00434,6366-ZGQGL,Cancelamento,Negativo
TKT-00435,4716-HHKQH,Técnico,Neutro
TKT-00436,5940-AHUHD,Cobrança,Negativo
TKT-00437,5940-AHUHD,Cobrança,Negativo
TKT-00438,6432-TWQLB,Cancelamento,Negativo
TKT-00439,6432-TWQLB,Cancelamento,Negativo
TKT-00440,6432-TWQLB,Técnico,Negativo
TKT-00441,4484-GLZOU,Cancelamento,Negativo
TKT-00442,4484-GLZOU,Cancelamento,Negativo
TKT-00443,4484-GLZOU,Cancelamento,Negativo
TKT-00444,8645-KWHJO,Cobrança,Neutro
TKT-00445,4130-MZLCC,Dúvida Geral,Neutro
TKT-00446,4130-MZLCC,Cobrança,Neutro
TKT-00447,0314-TKOSI,Cobrança,Negativo
TKT-00448,0314-TKOSI,Cobrança,Neutro
TKT-00449,8229-MYEJZ,Técnico,Neutro
TKT-00450,2080-SRCDE,Dúvida Geral,Positivo
TKT-00451,2080-SRCDE,Dúvida Geral,Positivo
TKT-00452,9577-WJVCQ,Cobrança,Positivo
TKT-00453,9577-WJVCQ,Dúvida Geral,Neutro
TKT-00454,9512-UIBFX,Técnico,Negativo
TKT-00455,5583-SXDAG,Cobrança,Neutro
TKT-00456,5583-SXDAG,Cobrança,Negativo
TKT-00457,5583-SXDAG,Cancelamento,Negativo
TKT-00458,5583-SXDAG,Cancelamento,Positivo
TKT-00459,3488-PGMQJ,Cancelamento,Negativo
TKT-00460,3488-PGMQJ,Cancelamento,Positivo
TKT-00461,3488-PGMQJ,Cancelamento,Negativo
TKT-00462,3488-PGMQJ,Cancelamento,Negativo
TKT-00463,3488-PGMQJ,Cancelamento,Negativo
TKT-00464,3488-PGMQJ,Cancelamento,Neutro
TKT-00465,3580-REOAC,Dúvida Geral,Negativo
TKT-00466,3580-REOAC,Cancelamento,Negativo
TKT-00467,7534-BFESC,Cancelamento,Negativo
TKT-00468,7534-BFESC,Técnico,Positivo
TKT-00469,3727-OWVYD,Cobrança,Negativo
TKT-00470,3727-OWVYD,Dúvida Geral,Neutro
TKT-00471,2294-SALNE,Técnico,Neutro
TKT-00472,8203-XJZRC,Dúvida Geral,Negativo
TKT-00473,6556-DBKZF,Dúvida Geral,Neutro
TKT-00474,6556-DBKZF,Técnico,Neutro
TKT-00475,2985-JUUBZ,Dúvida Geral,Neutro
TKT-00476,2985-JUUBZ,Dúvida Geral,Positivo
TKT-00477,6390-DSAZX,Cobrança,Neutro
TKT-00478,6390-DSAZX,Cobrança,Negativo
TKT-00479,6390-DSAZX,Cancelamento,Negativo
TKT-00480,6390-DSAZX,Dúvida Geral,Negativo
TKT-00481,6390-DSAZX,Dúvida Geral,Negativo
TKT-00482,6390-DSAZX,Cancelamento,Negativo
TKT-00483,8098-LLAZX,Dúvida Geral,Negativo
TKT-00484,8098-LLAZX,Dúvida Geral,Negativo
TKT-00485,8098-LLAZX,Cancelamento,Positivo
TKT-00486,8098-LLAZX,Dúvida Geral,Negativo
TKT-00487,8181-YHCMF,Dúvida Geral,Neutro
TKT-00488,8181-YHCMF,Técnico,Neutro
TKT-00489,2240-HSJQD,Dúvida Geral,Negativo
TKT-00490,1248-DYXUB,Cobrança,Neutro
TKT-00491,1248-DYXUB,Dúvida Geral,Negativo
TKT-00492,0265-EDXBD,Cancelamento,Negativo
TKT-00493,0265-EDXBD,Cancelamento,Negativo
TKT-00494,0265-EDXBD,Técnico,Positivo
TKT-00495,0265-EDXBD,Cancelamento,Negativo
TKT-00496,0265-EDXBD,Cancelamento,Negativo
TKT-00497,4115-BNPJY,Dúvida Geral,Neutro
TKT-00498,1098-TDVUQ,Cobrança,Negativo
TKT-00499,2799-ARNLO,Técnico,Positivo
